# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas 
2.919615e-01 4.733077e-02 6.783333e-01 1.760513e-09 9.895513e-01 -6.733333e-01 3.019231e-01 9.219231e-02 2.474103e+00 2.484615e-02 
3.376538e-01 5.031538e-02 7.319231e-01 2.051795e-09 9.632692e-01 -9.461538e-01 -5.480769e-01 8.250000e-02 3.181282e+00 -2.530769e-02 
2.656538e-01 4.839231e-02 6.988462e-01 1.752308e-09 9.821154e-01 -5.153846e-01 -2.134615e-01 7.142308e-02 3.281795e+00 5.923077e-03 
3.041923e-01 4.585385e-02 6.480769e-01 2.144103e-09 9.518590e-01 -1.255897e+00 4.807692e-02 1.217308e-01 2.890513e+00 1.176923e-02 
3.482692e-01 5.020769e-02 7.252564e-01 2.328718e-09 9.946795e-01 -1.013846e+00 -5.096154e-01 1.161923e-01 2.739744e+00 -1.361538e-02 
2.880385e-01 4.863846e-02 7.039744e-01 2.318462e-09 9.866026e-01 -1.253846e+00 -8.519231e-01 1.224231e-01 3.091538e+00 -2.792308e-02 
2.901154e-01 4.971538e-02 6.403846e-01 2.072308e-09 9.576282e-01 -5.010256e-01 -1.365385e-01 8.365385e-02 2.696667e+00 -6.230769e-03 
3.381154e-01 4.566923e-02 7.178205e-01 1.900000e-09 9.736538e-01 -9.317949e-01 2.634615e-01 1.138846e-01 3.235128e+00 2.823077e-02 
2.825000e-01 4.853077e-02 6.650000e-01 2.166667e-09 9.986538e-01 -1.134872e+00 4.634615e-01 1.298077e-01 2.829487e+00 -1.592308e-02 
3.152692e-01 4.923846e-02 7.316667e-01 1.838462e-09 9.763462e-01 -7.061538e-01 -7.750000e-01 6.496154e-02 2.571026e+00 -5.923077e-03 
3.258846e-01 4.557692e-02 6.962821e-01 2.371795e-09 9.513462e-01 -9.769231e-01 -2.480769e-01 1.194231e-01 3.468462e+00 2.207692e-02 
2.753462e-01 5.074615e-02 6.737179e-01 2.086667e-09 9.539103e-01 -1.077436e+00 -3.673077e-01 1.441154e-01 3.008974e+00 -1.515385e-02 
2.979615e-01 4.526923e-02 7.311538e-01 1.963590e-09 9.810897e-01 -9.810256e-01 3.942308e-01 8.803846e-02 2.441795e+00 1.038462e-02 
3.401923e-01 4.719231e-02 6.667949e-01 2.285641e-09 9.927564e-01 -6.856410e-01 -8.442308e-01 9.288462e-02 3.597692e+00 5.461538e-03 
2.702692e-01 4.890000e-02 6.721795e-01 2.084615e-09 9.922436e-01 -5.276923e-01 1.750000e-01 1.060385e-01 2.761282e+00 -2.038462e-02 
2.940385e-01 4.910000e-02 6.811538e-01 1.803590e-09 9.514744e-01 -1.282564e+00 -3.211538e-01 7.580769e-02 3.396667e+00 1.069231e-02 
3.413462e-01 4.579231e-02 7.273077e-01 2.476410e-09 9.686538e-01 -8.148718e-01 -8.480769e-01 1.240385e-01 3.138205e+00 -1.615385e-03 
2.891923e-01 5.042308e-02 7.052564e-01 2.133846e-09 9.739103e-01 -7.902564e-01 4.865385e-01 8.642308e-02 3.220769e+00 2.730769e-02 
